Stationsnavn;Operatør;Jan;Feb;Mar;Apr;Maj;Jun;Jul;Aug;Sep;Okt;Nov;Dec;Total
Alken;Arriva;842;749;914;854;1.018;1.174;777;1.128;1.165;1.031;1.000;915;11.567
Amstrup;Midtjyske Jernbaner;;;;;;;;;;;;;0
Arden;DSB FR;3.421;2.770;3.118;3.144;3.259;2.628;1.883;3.140;3.201;3.255;3.377;3.075;36.271
Armose;Midtjyske Jernbaner;;;;;;;;;;;;;0
Aulum;DSB FR;1.326;1.531;1.729;1.550;1.442;1.131;474;674;1.898;1.860;1.842;1.702;17.159
Baunhøj;Arriva;618;548;715;516;687;482;326;653;702;558;607;442;6.854
Bedsted Thy;Arriva;1.095;979;1.193;945;1.131;1.131;831;1.350;1.180;1.082;1.300;920;13.137
Bedsted Thy;DSB FR;;;;;;;;;;;;;0
Billum;Arriva;544;494;688;478;550;474;418;707;771;627;715;515;6.981
Birk Centerpark;Arriva;1.578;1.889;2.107;1.340;1.570;1.183;494;1.211;2.614;2.353;2.596;1.503;20.438
Bjerringbro;Arriva;8.987;8.423;10.292;8.125;9.185;8.633;5.835;9.444;10.346;9.902;10.314;8.272;107.758
Bonnet;Midtjyske Jernbaner;;;;;;;;;;;;;0
Bording;Arriva;2.353;2.204;2.466;2.456;2.640;2.757;2.216;2.818;2.868;2.455;2.377;2.042;29.652
Borris;Arriva;836;844;967;918;780;772;595;932;830;826;825;791;9.916
Borup;DSB FR;15.022;14.170;15.677;14.932;16.783;17.994;14.008;17.299;18.954;19.019;18.950;15.655;198.463
Boulevarden;Arriva;430;415;463;458;432;378;327;547;494;505;571;526;5.546
Bramming;Arriva;8.897;8.827;10.943;10.655;11.742;10.378;8.340;12.051;13.179;12.383;12.117;9.510;129.022
Bramming;DSB FR;11.322;10.003;11.155;12.137;12.240;10.770;9.487;12.111;13.790;12.688;12.222;10.351;138.276
Brande;Arriva;5.034;4.712;5.561;4.633;4.843;4.672;3.428;5.335;5.428;4.481;4.751;3.933;56.811
Brande;DSB FR;2.723;2.884;3.130;2.825;2.752;2.352;1.315;1.841;3.192;3.316;3.150;2.983;32.463
Bred;DSB FR;609;303;339;455;520;427;374;462;449;498;438;346;5.220
Bredebro;Arriva;2.499;2.000;2.611;2.057;2.461;2.290;1.339;2.727;2.781;2.447;2.620;1.974;27.806
Brejning;DSB FR;4.833;4.458;4.188;4.430;4.452;3.636;3.049;4.837;3.036;4.899;4.418;3.343;49.579
Brødeskov;Lokaltog;1.943;1.554;2.456;1.429;1.879;1.350;1.073;1.284;1.618;1.496;1.703;1.570;19.355
Brønderslev;DSB FR;;;;;;;;;;;;;0
Brønderslev;Nordjyske Jernbaner;19.715;18.855;21.590;19.936;21.011;19.310;15.324;21.228;24.435;19.270;22.595;19.067;242.336
Brøns;Arriva;1.016;908;1.082;829;1.109;1.096;578;1.283;1.363;1.069;1.408;956;12.697
Brørup;DSB FR;4.320;4.239;4.105;4.752;4.516;3.695;4.132;5.430;4.932;5.501;4.737;4.180;54.539
Bunken;Nordjyske Jernbaner;121;79;97;298;258;367;921;504;253;173;196;87;3.354
Bur;Arriva;;;;;;;;;;;;;0
Bækmarksbro;Midtjyske Jernbaner;;;;;;;;;;;;;0
Børkop;DSB FR;6.212;5.583;5.659;6.135;6.350;5.785;4.802;6.369;4.150;5.835;5.667;4.884;67.431
Dyreby;Arriva;28;21;33;21;33;26;13;37;42;37;47;41;379
Døstrup Sdj;Arriva;614;529;637;524;588;577;471;767;657;563;576;484;6.987
Ejby;DSB FR;5.702;4.196;4.185;4.845;4.545;3.626;2.875;5.699;4.303;5.472;4.563;4.015;54.026
Emmersbæk;Nordjyske Jernbaner;2.903;2.566;3.026;2.716;2.868;2.807;2.392;3.021;3.266;2.852;3.146;2.751;34.314
Engesvang;Arriva;2.743;2.581;2.947;2.549;2.803;2.640;1.892;3.102;3.374;3.033;3.310;2.705;33.679
Esbjerg;Arriva;24.586;24.200;27.554;26.304;28.856;24.741;27.386;31.989;33.183;27.922;28.201;25.970;330.892
Esbjerg;DSB FR;38.476;33.957;36.735;37.513;37.394;34.779;36.444;43.322;38.863;41.690;37.601;31.735;448.509
Eskilstrup;DSB FR;3.318;2.807;2.932;2.977;2.749;2.672;2.410;3.124;2.892;2.989;2.753;2.230;33.853
Espergærde;DSB FR;40.794;38.012;44.318;43.139;48.279;48.296;41.695;50.153;50.514;47.081;45.747;39.320;537.348
Fredericia;DSB FR;227.409;183.525;187.171;213.625;222.444;234.905;236.617;284.335;238.587;251.282;221.999;184.699;2.686.598
Frederikshavn;DSB FR;;;;;;;;;;;;;0
Frederikshavn;Nordjyske Jernbaner;23.257;20.795;24.241;22.612;26.054;25.207;31.174;29.825;27.109;24.040;24.233;21.200;299.747
Frederikshavnsvej;Nordjyske Jernbaner;3.237;3.268;3.714;3.251;3.656;3.653;4.171;4.246;4.089;3.564;3.609;2.954;43.412
Frisvadvej;Arriva;1.697;1.212;1.867;1.209;1.200;540;419;1.649;2.218;1.566;2.000;1.283;16.860
Fruens Bøge;Arriva;1.954;2.192;2.591;2.258;2.708;3.438;2.374;3.139;3.023;2.541;2.510;2.050;30.778
Fruens Bøge;DSB FR;;;;;;;;;;;;;0
Fåre;Midtjyske Jernbaner;;;;;;;;;;;;;0
Gelsted;DSB FR;3.493;2.739;2.875;3.080;3.234;2.448;2.253;4.237;3.228;3.851;2.952;2.407;36.797
Give;Arriva;4.519;3.955;4.815;4.544;4.707;4.377;3.286;5.194;5.449;4.888;4.969;4.365;55.068
Give;DSB FR;1.794;1.644;1.851;1.800;2.028;1.520;843;1.490;1.832;1.862;1.729;1.582;19.975
Gjesing;Arriva;3.749;3.644;4.075;3.520;3.683;2.786;2.969;4.076;4.136;3.740;4.365;3.602;44.345
Glumsø;DSB FR;9.043;8.031;7.054;8.255;7.897;7.010;5.847;8.978;8.277;9.744;8.491;6.560;95.187
Gredstedbro;Arriva;1.990;1.716;2.204;1.745;2.187;1.902;1.238;2.301;2.676;2.228;2.516;1.973;24.676
Gråsten;DSB FR;2.360;2.157;2.117;2.510;2.934;2.603;2.487;2.786;2.852;2.889;2.298;2.052;30.045
Guldager;Arriva;744;765;964;815;871;802;756;862;874;812;916;879;10.060
Gødstrup;Arriva;4.280;4.088;4.917;3.669;4.476;4.171;2.876;3.800;4.232;4.429;4.642;3.403;48.983
Gødstrup;DSB FR;;;;;;0;;;;;;;0
Gørding;DSB FR;1.979;1.859;2.128;1.949;2.097;1.971;1.537;2.235;2.111;2.062;1.954;1.862;23.744
Gårde;Arriva;499;401;533;410;437;314;219;460;590;541;589;447;5.440
Hadsten;Arriva;7.854;7.411;8.422;7.122;8.076;8.043;4.742;8.622;9.557;8.864;9.795;8.149;96.657
Hadsten;DSB FR;3.693;3.296;3.627;3.611;3.858;2.855;2.335;3.033;3.869;3.946;4.120;3.525;41.768
Hammerum;Arriva;1.558;1.570;1.840;1.840;2.004;1.947;1.611;2.127;2.148;2.007;2.124;2.091;22.867
Harboøre;Midtjyske Jernbaner;;;;;;;;;;;;;0
Haslev;DSB FR;34.892;27.359;27.830;33.225;32.315;28.576;33.379;38.506;34.735;40.801;32.918;29.422;393.958
Hedehusene;DSB FR;25.568;25.576;28.350;24.342;28.859;31.128;23.809;31.128;33.696;33.495;32.933;27.818;346.702
Hedensted;DSB FR;21.059;11.519;9.753;16.721;10.108;8.638;15.836;17.244;9.940;19.608;12.408;11.037;163.871
Hee;Arriva;;;;;;;;;;;;;0
Hellerup;DSB FR;95.896;88.350;99.556;106.047;112.193;105.348;96.429;114.827;116.345;110.988;104.656;86.063;1.236.698
Helsingør;DSB FR;69.878;66.251;76.948;78.223;86.302;84.481;75.748;88.656;89.112;81.809;80.438;69.249;947.095
Henne;Arriva;516;468;571;427;529;425;471;454;475;400;392;381;5.509
Herfølge;DSB FR;5.791;5.647;6.266;5.570;7.033;7.556;6.097;7.321;7.924;7.710;7.826;6.539;81.280
Herning;Arriva;38.404;38.315;43.218;40.023;42.138;38.936;34.952;44.009;45.140;43.670;43.385;38.696;490.886
Herning;DSB FR;14.720;14.016;15.357;14.321;14.825;12.005;8.139;10.660;17.438;17.010;16.366;16.039;170.896
Herning Messecenter;Arriva;230;441;354;307;323;257;227;391;270;468;305;408;3.981
Herregårdsparken;Nordjyske Jernbaner;1.047;992;1.141;969;1.124;1.089;930;1.042;1.109;1.017;1.078;1.074;12.612
Hillerød;Lokaltog;120.023;101.484;125.004;121.608;140.519;139.719;136.823;144.575;139.810;138.871;136.587;114.382;1.559.405
Himlingøje;Lokaltog;351;374;458;405;487;370;232;419;1.230;342;288;249;5.205
Hinnerup;Arriva;9.564;9.009;9.981;8.854;9.947;10.120;6.894;10.986;11.599;10.554;11.989;10.328;119.825
Hinnerup;DSB FR;883;725;658;656;773;694;458;780;932;712;634;542;8.447
Hirtshals;Nordjyske Jernbaner;7.066;6.387;7.408;7.639;9.714;9.292;10.642;11.152;9.754;7.397;7.564;6.556;100.571
Hjallese;Arriva;5.537;6.068;7.404;6.283;6.332;7.983;5.136;6.541;8.040;6.947;7.650;6.751;80.672
Hjallese;DSB FR;;;;;;;;;;;;;0
Hjerm;Arriva;1.352;1.231;1.454;1.128;1.295;1.201;782;1.398;1.528;1.270;1.315;1.178;15.132
Hjerm;DSB FR;74;33;48;54;52;78;38;47;46;66;44;102;682
Hjørring;DSB FR;;;;;;;;;;;;;0
Hjørring;Nordjyske Jernbaner;46.825;44.518;51.970;47.337;51.626;47.934;46.624;52.177;56.874;47.085;52.113;44.844;589.927
Hjørring Øst;Nordjyske Jernbaner;7.564;6.968;8.823;6.494;6.892;5.826;5.650;7.162;8.871;7.448;8.150;6.031;85.879
Hobro;DSB FR;18.257;15.587;16.807;17.733;18.478;15.330;12.260;17.827;19.154;19.413;17.932;17.640;206.418
Holbæk;DSB FR;87.387;76.071;79.067;90.053;86.400;77.378;80.295;97.947;89.887;95.129;81.089;71.809;1.012.512
Holme-Olstrup;DSB FR;2.376;2.123;2.057;2.510;2.784;3.402;4.316;3.969;3.281;3.084;2.714;2.067;34.683
Holmstrup;DSB FR;610;628;503;577;573;391;398;562;496;628;510;426;6.302
