station,lon,lat
Kalundborg St.,11.089057,55.677846
Kalundborg Øst St.,11.120861,55.676596
Svebølle St.,11.291584,55.652199
Jyderup St.,11.398025,55.660263
Mørkøv St.,11.501851,55.654492
Knabstrup St.,11.553674,55.664901
Regstrup St.,11.612643,55.677549
Holbæk St.,11.708594,55.715753
Roskilde St.,12.08855,55.639093
Høje Taastrup St.,12.269583,55.648873
København H,12.565562,55.673063
Nørreport St.,12.571801,55.683455
Østerport St.,12.587784,55.692498
Helsingør St.,12.614167,56.033621
Snekkersten St.,12.583882,56.009233
Espergærde St.,12.549382,55.995803
Humlebæk St.,12.533408,55.963739
Nivå St.,12.506575,55.933337
Kokkedal St.,12.502054,55.903484
Rungsted Kyst St.,12.531475,55.882224
Vedbæk St.,12.563018,55.852902
Skodsborg St.,12.571288,55.823534
Klampenborg St.,12.58773,55.777446
Hellerup St.,12.567657,55.731026
København Syd St.,12.51685,55.652622
Køge Nord St.,12.173983,55.499194
Ølby St.,12.175763,55.47975
Køge St.,12.186334,55.457547
Herfølge St.,12.137253,55.417707
Tureby St.,12.076073,55.373228
Haslev St.,11.961038,55.329361
Holme-Olstrup St.,11.848736,55.260953
Næstved Nord St.,11.786467,55.248323
Næstved St.,11.767051,55.231244
CPH Lufthavn,12.649162,55.629439
Tårnby St.,12.602094,55.629852
Ørestad St.,12.578776,55.628432
Trekroner St.,12.132282,55.647929
Ringsted St.,11.786377,55.438391
Sorø St.,11.569243,55.419343
Slagelse St.,11.348998,55.407306
Esbjerg St.,8.458193,55.46792
Bramming St.,8.706799,55.464774
Vejen St.,9.136187,55.475939
Lunderskov St.,9.303377,55.479984
Kolding St.,9.481094,55.490834
Middelfart St.,9.734041,55.501981
Odense St.,10.386739,55.401778
Langeskov St.,10.586237,55.361767
Nyborg St.,10.80258,55.31389
Korsør St.,11.135334,55.356886
Valby St.,12.51445,55.663993
Gørding St.,8.800727,55.4697
Holsted St.,8.914459,55.484928
Brørup St.,9.016136,55.482798
Taulov St.,9.615761,55.54512
Fredericia St.,9.740639,55.568213
Børkop St.,9.651943,55.642015
Brejning St.,9.659278,55.66651
Vejle St.,9.536485,55.706737
Hedensted St.,9.698462,55.767567
Horsens St.,9.836536,55.862763
Skanderborg St.,9.925359,56.043374
Viby Jylland St.,10.160948,56.122353
Aarhus H,10.204761,56.150444
Thisted St.,8.688056,56.952885
Sjørring St.,8.587602,56.95159
Snedsted St.,8.526799,56.892342
Hørdum St.,8.490689,56.850812
